逢沢一郎	49	統一教会 ワールドメイト 不二阿祖山太神宮 胎内記憶
安倍晋三	70	統一教会 ワールドメイト 霊友会 親学
伊東良孝	8	統一教会
井原巧	8	統一教会
井上信治	44	統一教会 親学 統合医療 不二阿祖山太神宮
稲田朋美	8	統一教会
永岡桂子	4	幸福の科学
塩谷立	6	霊友会 親学
奥野信亮	20	統一教会
黄川田仁志	4	統一教会
岡島一正	4	ワールドメイト
下村博文	78	統一教会 ワールドメイト 幸福の科学 親学 スピリチュアル議連 EM菌 予言者ジュセリーノ ナノ銀
下地幹郎	12	統一教会 ワールドメイト
加藤鮎子	4	幸福の科学
加藤勝信	15	統一教会 霊友会
海江田万里	4	ワールドメイト
笠浩史	3	親学
関芳弘	14	統一教会 霊友会
岸信夫	4	統一教会
岩田和親	3	統合医療
義家弘介	26	統一教会 幸福の科学 不二阿祖山太神宮
宮下一郎	9	統合医療 スピリチュアル議連 国際生命情報科学会
宮崎政久	4	統一教会
宮沢博行	18	不二阿祖山太神宮
宮内秀樹	18	不二阿祖山太神宮
橋本岳	4	統一教会
玉木雄一郎	4	統一教会 統一教会
近藤和也	4	親鸞会
金子恭之	18	不二阿祖山太神宮
原口一博	28	ワールドメイト
原田義昭	34	統一教会 不二阿祖山太神宮
古屋範子	18	不二阿祖山太神宮
古川禎久	3	スピリチュアル議連
後藤茂之	3	統合医療
御法川信英	34	統一教会 不二阿祖山太神宮
工藤彰三	16	統一教会
高橋比奈子	9	統合医療 EM菌
高市早苗	10	統一教会 霊友会 統合医療
高鳥修一	11	統一教会 統合医療
高木毅	4	統一教会
高木宏寿	26	統一教会 不二阿祖山太神宮
黒川敦彦	3	反ワクチン
今村雅弘	4	ワールドメイト
根本幸典	4	統一教会
佐々木紀	3	統合医療
佐藤公治	8	ワールドメイト
左藤章	7	統一教会 EM菌
斎藤洋明	8	統一教会
細田博之	8	統一教会
坂井学	7	統一教会 統合医療
坂本哲志	18	不二阿祖山太神宮
三ツ林裕巳	22	統一教会 不二阿祖山太神宮
三原朝彦	26	統一教会 不二阿祖山太神宮
三谷英弘	4	統一教会
山下貴司	4	統一教会
山際大志郎	16	統一教会
山本幸三	18	不二阿祖山太神宮
山本拓	18	不二阿祖山太神宮
山本朋広	24	統一教会
山本有二	3	スピリチュアル議連
志位和夫	4	親鸞会
枝野幸男	4	親鸞会
若宮健嗣	18	不二阿祖山太神宮
宗清皇一	8	統一教会 ワールドメイト
秋葉賢也	18	不二阿祖山太神宮
勝俣孝明	3	統合医療
小熊慎司	18	不二阿祖山太神宮
小山展弘	4	ワールドメイト
小寺裕雄	4	統一教会
小倉将信	18	不二阿祖山太神宮
小沢一郎	27	ワールドメイト 親鸞会 ナノ銀
小田原潔	16	統一教会
小島敏文	6	統合医療 EM菌
小林史明	4	統一教会
小林鷹之	18	不二阿祖山太神宮
松原仁	3	スピリチュアル議連
松島みどり	3	統合医療
松本文明	30	統一教会 不二阿祖山太神宮
松木謙公	24	統一教会 ワールドメイト
上杉謙太郎	18	不二阿祖山太神宮
上田勇	18	不二阿祖山太神宮
上野賢一郎	30	統一教会 不二阿祖山太神宮
城井崇	12	ワールドメイト
城内実	46	統一教会 ワールドメイト 不二阿祖山太神宮
森英介	12	霊友会
神山佐市	4	統一教会
神山洋介	18	不二阿祖山太神宮
神田憲次	8	統一教会
杉田水脈	12	統一教会 幸福の科学
菅義偉	8	統一教会
瀬戸隆一	3	統合医療
星野剛士	7	統一教会 不二阿祖山太神宮
西村康稔	37	ワールドメイト 霊友会 親学 不二阿祖山太神宮
西村明宏	11	統一教会 ワールドメイト 統合医療
青山周平	18	不二阿祖山太神宮
斉藤鉄夫	18	不二阿祖山太神宮
石井拓	4	統一教会
石原宏高	3	霊友会
石原伸晃	3	霊友会
石破茂	26	統一教会 不二阿祖山太神宮
赤沢亮正	3	統合医療
浅尾慶一郎	16	ワールドメイト
船田元	4	統一教会
前原誠司	34	統一教会 ワールドメイト 不二阿祖山太神宮 親鸞会
前田一男	18	不二阿祖山太神宮
足立康史	22	統一教会 不二阿祖山太神宮
大岡敏孝	4	統一教会
大串正樹	3	統合医療
大口善徳	18	不二阿祖山太神宮
大西宏幸	11	ワールドメイト 霊友会
大西宏幸	3	霊友会 ワールドメイト
大島九州男	6	レイシズム 動物愛護過激派
大野敬太郎	18	不二阿祖山太神宮
沢口祐司	6	サンクチュアリ教会 反ワクチン
棚橋泰文	18	不二阿祖山太神宮
谷川とむ	26	統一教会 ワールドメイト 不二阿祖山太神宮
丹羽秀樹	4	統一教会
池田佳隆	8	統一教会
中山泰秀	8	統一教会
中川郁子	4	統一教会
中川正春	4	統一教会
中村裕之	15	統一教会 EM菌
中谷元	4	統一教会
中谷真一	26	統一教会 不二阿祖山太神宮
長妻昭	7	統合医療 親鸞会
長島昭久	4	統一教会
長尾敬	24	統一教会 ワールドメイト
辻元清美	4	親鸞会
辻清人	18	不二阿祖山太神宮
田村憲久	24	霊友会 不二阿祖山太神宮
田中英之	8	統一教会
田中克典	12	統一教会
田中和徳	17	統一教会 不二阿祖山太神宮
田島一成	3	親学
田畑裕明	8	統一教会
田野瀬太道	6	霊友会 統合医療
渡海紀三朗	18	不二阿祖山太神宮
土井亨	8	統一教会
土屋品子	18	不二阿祖山太神宮
藤丸敏	3	霊友会
藤原崇	4	統一教会
日吉雄太	8	ワールドメイト
萩生田光一	12	統一教会
鳩山二郎	12	ワールドメイト
伴野豊	3	霊友会 ワールドメイト
繁本護	8	統一教会
樋高剛	4	ワールドメイト
尾身朝子	3	霊友会
武井俊輔	18	不二阿祖山太神宮
武正公一	4	ワールドメイト
武村展英	15	統一教会 統合医療
武田良太	38	統一教会 ワールドメイト 不二阿祖山太神宮
福田達夫	3	霊友会
平井卓也	22	統一教会 統合医療 EM菌
平沢勝栄	12	ワールドメイト
北村誠吾	16	統一教会
牧義夫	25	ワールドメイト 親学 不二阿祖山太神宮
牧原秀樹	25	統合医療 不二阿祖山太神宮
牧島かれん	3	統合医療
末松義規	12	ワールドメイト
務台俊介	25	統一教会 霊友会 統合医療
木原稔	22	統一教会 不二阿祖山太神宮
木村弥生	4	統一教会
木内孝胤	4	ワールドメイト
野田毅	25	統一教会 不二阿祖山太神宮 EM菌
野田聖子	12	霊友会
葉梨康弘	9	不二阿祖山太神宮
鈴木英敬	4	統一教会
簗和生	3	統合医療