逢沢一郎	岡山１区	2	〇		〇				
伊東良孝	北海道７区	3	〇	〇		〇			
井原巧	愛媛３区	1	〇						
井上信治	東京25区	1				〇			
稲田朋美	福井１区	1	〇						
奥野信亮	近畿	1				〇			
下村博文	東京11区	1					〇		
加藤勝信	岡山５区	1				〇			
関芳弘	兵庫３区	1	〇						
岸信夫	山口２区	1						〇	
義家弘介	南関東	1		〇					
宮崎政久	九州	1	〇						
宮沢博行	東海	2	〇	〇					
宮内秀樹	福岡４区	1	〇						
工藤彰三	愛知４区	1	〇						
高鳥修一	北陸信越	2	〇					〇	
高木宏寿	北海道３区	3	〇			〇	〇		
佐々木紀	石川２区	2	〇	〇					
斎藤洋明	新潟３区	2						〇	〇
坂井学	神奈川５区	2	〇					〇	
山際大志郎	神奈川18区	2	〇	〇					
山本朋広	南関東	2	〇				〇		
宗清皇一	近畿	1	〇						
小寺裕雄	滋賀４区	1	〇						
小田原潔	東京21区	3	〇	〇		〇			
小林史明	広島７区	1	〇						
小林鷹之	千葉２区	1	〇						
上杉謙太郎	東北	1			〇				
上野賢一郎	滋賀２区	1				〇			
神田憲次	愛知５区	2	〇			〇			
星野剛士	南関東	1						〇	
青山周平	東海	1				〇			
石原宏高	東京	1	〇						
石破茂	鳥取１区	2		〇			〇		
赤沢亮正	鳥取２区	2	〇	〇					
大岡敏孝	滋賀１区	3	〇	〇		〇			
谷川とむ	近畿	2	〇	〇					
池田佳隆	東海	2	〇			〇			
中川郁子	北海道	2	〇			〇			
中村裕之	北海道４区	2	〇					〇	
中谷真一	山梨１区	1		〇					
田畑裕明	富山１区	3	〇			〇		〇	
田野瀬太道	奈良３区	2	〇					〇	
土井亨	宮城１区	1	〇						
萩生田光一	東京24区	4	〇		〇	〇		〇	
鳩山二郎	福岡６区	1	〇						
武村展英	滋賀３区	1	〇						
武田良太	福岡11区	2	〇			〇			
平井卓也	四国	2	〇			〇			
平沢勝栄	東京17区	1				〇			
北村誠吾	長崎４区	2	〇	〇					
務台俊介	北陸信越	2	〇	〇					
木原稔	熊本１区	1		〇					
井上義行	比例代表	4	〇	〇	〇				〇
木村次郎	青森３区	3			〇	〇		〇	
柴山昌彦	埼玉８区	2	〇		〇				
鬼木誠	福岡２区	2	〇			〇			
熊田裕通	愛知１区	2	〇					〇	
中山展宏	南関東	2	〇	〇					
古川康	九州	2	〇	〇					
深沢陽一	静岡４区	2	〇					〇	
中川貴元	東海	2	〇					〇	
若林健太	長野１区	2	〇					〇	
猪口邦子	千葉	2	〇	〇					
上野通子	栃木	2	〇			〇			
北村経夫	山口	2	〇					〇	
小鑓隆史	滋賀	2	〇					〇	
三宅伸吾	香川	2	〇		〇				
船橋利実	北海道	2	〇					〇	
甘利明	南関東	1		〇					
伊藤信太郎	宮城４区	1				〇			
寺田稔	広島５区	1				〇			
鈴木馨祐	神奈川７区	1	〇						
中根一幸	北関東	1	〇						
松本洋平	東京	1				〇			
盛山正仁	近畿	1	〇						
井林辰憲	静岡２区	1	〇						
菅家一郎	東北	1	〇						
国場幸之助	九州	1	〇						
細田健一	新潟２区	1	〇						
村井英樹	埼玉１区	1	〇						
山田賢司	兵庫７区	1	〇						
小林茂樹	近畿	1	〇						
高木啓	東京	1				〇			
中曽根康隆	群馬１区	1	〇						
穂坂泰	埼玉４区	1			〇				
東国幹	北海道６区	1	〇						
石原正敬	東海	1	〇						
石橋林太郎	中国	1	〇						
尾崎正直	高知２区	1	〇						
島尻安伊子	沖縄３区	1	〇						
高見康裕	島根２区	1	〇						
塚田一郎	北陸信越	1	〇						
土田慎	東京13区	1	〇						
中西健治	神奈川３区	1	〇						
中野英幸	埼玉７区	1	〇						
西野太亮	熊本２区	1	〇						
保岡宏武	九州	1	〇						
柳本顕	近畿	1	〇						
桜井充	宮城	1	〇						
山本順三	愛媛	1	〇						
青木一彦	鳥取・島根	1	〇						
石井浩郎	秋田	1	〇						
磯崎仁彦	香川	1			〇				
江島潔	山口	1	〇						
衛藤晟一	比例代表	1		〇					
森雅子	福島	1			〇				
渡辺猛之	岐阜	1	〇						
古賀友一郎	長崎	1	〇						
佐藤啓	奈良	1	〇						
高橋克法	栃木	1	〇						
豊田俊郎	千葉	1	〇						
舞立昇治	鳥取・島根	1	〇						
森屋宏	山梨	1	〇						
生稲晃子	東京	1	〇						
臼井正一	千葉	1	〇						
加田裕之	兵庫	1	〇						
加藤明良	茨城	1	〇						
永井学	山梨	1	〇						
星北斗	福島	1	〇						
若林洋平	静岡	1	〇						
菅原一秀	東京9区	0	〇	〇	〇	〇	〇	〇	〇