選挙種別ID,選挙ID,選挙名,選挙区ID(選挙区),選挙区名,NHK県コード
1,18852,衆院選,52042,北海道１区,1
1,18852,衆院選,52043,北海道２区,1
1,18852,衆院選,52044,北海道３区,1
1,18852,衆院選,52045,北海道４区,1
1,18852,衆院選,52046,北海道５区,1
1,18852,衆院選,52047,北海道６区,1
1,18852,衆院選,52048,北海道７区,1
1,18852,衆院選,52049,北海道８区,1
1,18852,衆院選,52050,北海道９区,1
1,18852,衆院選,52051,北海道１０区,1
1,18852,衆院選,52052,北海道１１区,1
1,18852,衆院選,52053,北海道１２区,1
1,18852,衆院選,52054,青森１区,2
1,18852,衆院選,52055,青森２区,2
1,18852,衆院選,52056,青森３区,2
1,18852,衆院選,52057,岩手１区,3
1,18852,衆院選,52058,岩手２区,3
1,18852,衆院選,52059,岩手３区,3
1,18852,衆院選,52060,宮城１区,4
1,18852,衆院選,52061,宮城２区,4
1,18852,衆院選,52062,宮城３区,4
1,18852,衆院選,52063,宮城４区,4
1,18852,衆院選,52064,宮城５区,4
1,18852,衆院選,52066,秋田１区,5
1,18852,衆院選,52067,秋田２区,5
1,18852,衆院選,52068,秋田３区,5
1,18852,衆院選,52069,山形１区,6
1,18852,衆院選,52070,山形２区,6
1,18852,衆院選,52071,山形３区,6
1,18852,衆院選,52072,福島１区,7
1,18852,衆院選,52073,福島２区,7
1,18852,衆院選,52074,福島３区,7
1,18852,衆院選,52075,福島４区,7
1,18852,衆院選,52077,茨城１区,8
1,18852,衆院選,52078,茨城２区,8
1,18852,衆院選,52079,茨城３区,8
1,18852,衆院選,52080,茨城４区,8
1,18852,衆院選,52081,茨城５区,8
1,18852,衆院選,52082,茨城６区,8
1,18852,衆院選,52083,茨城７区,8
1,18852,衆院選,52084,栃木１区,9
1,18852,衆院選,52085,栃木２区,9
1,18852,衆院選,52086,栃木３区,9
1,18852,衆院選,52087,栃木４区,9
1,18852,衆院選,52088,栃木５区,9
1,18852,衆院選,52089,群馬１区,10
1,18852,衆院選,52090,群馬２区,10
1,18852,衆院選,52091,群馬３区,10
1,18852,衆院選,52092,群馬４区,10
1,18852,衆院選,52093,群馬５区,10
1,18852,衆院選,52094,埼玉１区,11
1,18852,衆院選,52095,埼玉２区,11
1,18852,衆院選,52096,埼玉３区,11
1,18852,衆院選,52097,埼玉４区,11
1,18852,衆院選,52098,埼玉５区,11
1,18852,衆院選,52099,埼玉６区,11
1,18852,衆院選,52100,埼玉７区,11
1,18852,衆院選,52101,埼玉８区,11
1,18852,衆院選,52102,埼玉９区,11
1,18852,衆院選,52103,埼玉１０区,11
1,18852,衆院選,52104,埼玉１１区,11
1,18852,衆院選,52105,埼玉１２区,11
1,18852,衆院選,52106,埼玉１３区,11
1,18852,衆院選,52107,埼玉１４区,11
1,18852,衆院選,52108,埼玉１５区,11
1,18852,衆院選,52342,埼玉１６区,11
1,18852,衆院選,52109,千葉１区,12
1,18852,衆院選,52110,千葉２区,12
1,18852,衆院選,52111,千葉３区,12
1,18852,衆院選,52112,千葉４区,12
1,18852,衆院選,52113,千葉５区,12
1,18852,衆院選,52114,千葉６区,12
1,18852,衆院選,52115,千葉７区,12
1,18852,衆院選,52116,千葉８区,12
1,18852,衆院選,52117,千葉９区,12
1,18852,衆院選,52118,千葉１０区,12
1,18852,衆院選,52119,千葉１１区,12
1,18852,衆院選,52120,千葉１２区,12
1,18852,衆院選,52121,千葉１３区,12
1,18852,衆院選,52343,千葉１４区,12
1,18852,衆院選,52122,東京１区,13
1,18852,衆院選,52123,東京２区,13
1,18852,衆院選,52124,東京３区,13
1,18852,衆院選,52125,東京４区,13
1,18852,衆院選,52126,東京５区,13
1,18852,衆院選,52127,東京６区,13
1,18852,衆院選,52128,東京７区,13
1,18852,衆院選,52129,東京８区,13
1,18852,衆院選,52130,東京９区,13
1,18852,衆院選,52131,東京１０区,13
1,18852,衆院選,52132,東京１１区,13
1,18852,衆院選,52133,東京１２区,13
1,18852,衆院選,52134,東京１３区,13
1,18852,衆院選,52135,東京１４区,13
1,18852,衆院選,52136,東京１５区,13
1,18852,衆院選,52137,東京１６区,13
1,18852,衆院選,52138,東京１７区,13
1,18852,衆院選,52139,東京１８区,13
1,18852,衆院選,52140,東京１９区,13
1,18852,衆院選,52141,東京２０区,13
1,18852,衆院選,52142,東京２１区,13
1,18852,衆院選,52143,東京２２区,13
1,18852,衆院選,52144,東京２３区,13
1,18852,衆院選,52145,東京２４区,13
1,18852,衆院選,52146,東京２５区,13
1,18852,衆院選,52344,東京２６区,13
1,18852,衆院選,52345,東京２７区,13
1,18852,衆院選,52346,東京２８区,13
1,18852,衆院選,52347,東京２９区,13
1,18852,衆院選,52348,東京３０区,13
1,18852,衆院選,52147,神奈川１区,14
1,18852,衆院選,52148,神奈川２区,14
1,18852,衆院選,52149,神奈川３区,14
1,18852,衆院選,52150,神奈川４区,14
1,18852,衆院選,52151,神奈川５区,14
1,18852,衆院選,52152,神奈川６区,14
1,18852,衆院選,52153,神奈川７区,14
1,18852,衆院選,52154,神奈川８区,14
1,18852,衆院選,52155,神奈川９区,14
1,18852,衆院選,52156,神奈川１０区,14
1,18852,衆院選,52157,神奈川１１区,14
1,18852,衆院選,52158,神奈川１２区,14
1,18852,衆院選,52159,神奈川１３区,14
1,18852,衆院選,52160,神奈川１４区,14
1,18852,衆院選,52161,神奈川１５区,14
1,18852,衆院選,52162,神奈川１６区,14
1,18852,衆院選,52163,神奈川１７区,14
1,18852,衆院選,52164,神奈川１８区,14
1,18852,衆院選,52349,神奈川１９区,14
1,18852,衆院選,52350,神奈川２０区,14
1,18852,衆院選,52165,新潟１区,15
1,18852,衆院選,52166,新潟２区,15
1,18852,衆院選,52167,新潟３区,15
1,18852,衆院選,52168,新潟４区,15
1,18852,衆院選,52169,新潟５区,15
1,18852,衆院選,52171,長野１区,16
1,18852,衆院選,52172,長野２区,16
1,18852,衆院選,52173,長野３区,16
1,18852,衆院選,52174,長野４区,16
1,18852,衆院選,52175,長野５区,16
1,18852,衆院選,52176,山梨１区,17
1,18852,衆院選,52177,山梨２区,17
1,18852,衆院選,52178,富山１区,18
1,18852,衆院選,52179,富山２区,18
1,18852,衆院選,52180,富山３区,18
1,18852,衆院選,52181,石川１区,19
1,18852,衆院選,52182,石川２区,19
1,18852,衆院選,52183,石川３区,19
1,18852,衆院選,52184,福井１区,20
1,18852,衆院選,52185,福井２区,20
1,18852,衆院選,52186,岐阜１区,21
1,18852,衆院選,52187,岐阜２区,21
1,18852,衆院選,52188,岐阜３区,21
1,18852,衆院選,52189,岐阜４区,21
1,18852,衆院選,52190,岐阜５区,21
1,18852,衆院選,52191,静岡１区,22
1,18852,衆院選,52192,静岡２区,22
1,18852,衆院選,52193,静岡３区,22
1,18852,衆院選,52194,静岡４区,22
1,18852,衆院選,52195,静岡５区,22
1,18852,衆院選,52196,静岡６区,22
1,18852,衆院選,52197,静岡７区,22
1,18852,衆院選,52198,静岡８区,22
1,18852,衆院選,52199,愛知１区,23
1,18852,衆院選,52200,愛知２区,23
1,18852,衆院選,52201,愛知３区,23
1,18852,衆院選,52202,愛知４区,23
1,18852,衆院選,52203,愛知５区,23
1,18852,衆院選,52204,愛知６区,23
1,18852,衆院選,52205,愛知７区,23
1,18852,衆院選,52206,愛知８区,23
1,18852,衆院選,52207,愛知９区,23
1,18852,衆院選,52208,愛知１０区,23
1,18852,衆院選,52209,愛知１１区,23
1,18852,衆院選,52210,愛知１２区,23
1,18852,衆院選,52211,愛知１３区,23
1,18852,衆院選,52212,愛知１４区,23
1,18852,衆院選,52213,愛知１５区,23
1,18852,衆院選,52351,愛知１６区,23
1,18852,衆院選,52214,三重１区,24
1,18852,衆院選,52215,三重２区,24
1,18852,衆院選,52216,三重３区,24
1,18852,衆院選,52217,三重４区,24
1,18852,衆院選,52218,滋賀１区,25
1,18852,衆院選,52219,滋賀２区,25
1,18852,衆院選,52220,滋賀３区,25
1,18852,衆院選,52222,京都１区,26
1,18852,衆院選,52223,京都２区,26
1,18852,衆院選,52224,京都３区,26
1,18852,衆院選,52225,京都４区,26
1,18852,衆院選,52226,京都５区,26
1,18852,衆院選,52227,京都６区,26
1,18852,衆院選,52228,大阪１区,27
1,18852,衆院選,52229,大阪２区,27
1,18852,衆院選,52230,大阪３区,27
1,18852,衆院選,52231,大阪４区,27
1,18852,衆院選,52232,大阪５区,27
1,18852,衆院選,52233,大阪６区,27
1,18852,衆院選,52234,大阪７区,27
1,18852,衆院選,52235,大阪８区,27
1,18852,衆院選,52236,大阪９区,27
1,18852,衆院選,52237,大阪１０区,27
1,18852,衆院選,52238,大阪１１区,27
1,18852,衆院選,52239,大阪１２区,27
1,18852,衆院選,52240,大阪１３区,27
1,18852,衆院選,52241,大阪１４区,27
1,18852,衆院選,52242,大阪１５区,27
1,18852,衆院選,52243,大阪１６区,27
1,18852,衆院選,52244,大阪１７区,27
1,18852,衆院選,52245,大阪１８区,27
1,18852,衆院選,52246,大阪１９区,27
1,18852,衆院選,52247,兵庫１区,28
1,18852,衆院選,52248,兵庫２区,28
1,18852,衆院選,52249,兵庫３区,28
1,18852,衆院選,52250,兵庫４区,28
1,18852,衆院選,52251,兵庫５区,28
1,18852,衆院選,52252,兵庫６区,28
1,18852,衆院選,52253,兵庫７区,28
1,18852,衆院選,52254,兵庫８区,28
1,18852,衆院選,52255,兵庫９区,28
1,18852,衆院選,52256,兵庫１０区,28
1,18852,衆院選,52257,兵庫１１区,28
1,18852,衆院選,52258,兵庫１２区,28
1,18852,衆院選,52259,奈良１区,29
1,18852,衆院選,52260,奈良２区,29
1,18852,衆院選,52261,奈良３区,29
1,18852,衆院選,52262,和歌山１区,30
1,18852,衆院選,52263,和歌山２区,30
1,18852,衆院選,52265,鳥取１区,31
1,18852,衆院選,52266,鳥取２区,31
1,18852,衆院選,52267,島根１区,32
1,18852,衆院選,52268,島根２区,32
1,18852,衆院選,52269,岡山１区,33
1,18852,衆院選,52270,岡山２区,33
1,18852,衆院選,52271,岡山３区,33
1,18852,衆院選,52272,岡山４区,33
1,18852,衆院選,52274,広島１区,34
1,18852,衆院選,52275,広島２区,34
1,18852,衆院選,52276,広島３区,34
1,18852,衆院選,52277,広島４区,34
1,18852,衆院選,52278,広島５区,34
1,18852,衆院選,52279,広島６区,34
1,18852,衆院選,52281,山口１区,35
1,18852,衆院選,52282,山口２区,35
1,18852,衆院選,52283,山口３区,35
1,18852,衆院選,52285,徳島１区,36
1,18852,衆院選,52286,徳島２区,36
1,18852,衆院選,52287,香川１区,37
1,18852,衆院選,52288,香川２区,37
1,18852,衆院選,52289,香川３区,37
1,18852,衆院選,52290,愛媛１区,38
1,18852,衆院選,52291,愛媛２区,38
1,18852,衆院選,52292,愛媛３区,38
1,18852,衆院選,52294,高知１区,39
1,18852,衆院選,52295,高知２区,39
1,18852,衆院選,52296,福岡１区,40
1,18852,衆院選,52297,福岡２区,40
1,18852,衆院選,52298,福岡３区,40
1,18852,衆院選,52299,福岡４区,40
1,18852,衆院選,52300,福岡５区,40
1,18852,衆院選,52301,福岡６区,40
1,18852,衆院選,52302,福岡７区,40
1,18852,衆院選,52303,福岡８区,40
1,18852,衆院選,52304,福岡９区,40
1,18852,衆院選,52305,福岡１０区,40
1,18852,衆院選,52306,福岡１１区,40
1,18852,衆院選,52307,佐賀１区,41
1,18852,衆院選,52308,佐賀２区,41
1,18852,衆院選,52309,長崎１区,42
1,18852,衆院選,52310,長崎２区,42
1,18852,衆院選,52311,長崎３区,42
1,18852,衆院選,52313,熊本１区,43
1,18852,衆院選,52314,熊本２区,43
1,18852,衆院選,52315,熊本３区,43
1,18852,衆院選,52316,熊本４区,43
1,18852,衆院選,52317,大分１区,44
1,18852,衆院選,52318,大分２区,44
1,18852,衆院選,52319,大分３区,44
1,18852,衆院選,52320,宮崎１区,45
1,18852,衆院選,52321,宮崎２区,45
1,18852,衆院選,52322,宮崎３区,45
1,18852,衆院選,52323,鹿児島１区,46
1,18852,衆院選,52324,鹿児島２区,46
1,18852,衆院選,52325,鹿児島３区,46
1,18852,衆院選,52326,鹿児島４区,46
1,18852,衆院選,52327,沖縄１区,47
1,18852,衆院選,52328,沖縄２区,47
1,18852,衆院選,52329,沖縄３区,47
1,18852,衆院選,52330,沖縄４区,47
